facebook.com, 157.240.28.35
youtube.com, 172.217.2.14
yahoo.com, 74.6.231.21
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 13.82.28.61
baidu.com, 39.156.69.79
blogspot.com, 172.217.2.9
:         db files
rpc:            db files

netgroup:       nis
, NOT_RESOLVED
qq.com, 203.205.254.157
taobao.com, 140.205.94.189
bing.com, 204.79.197.200
sina.com.cn, 123.125.104.150
soso.com, 119.28.109.132
163.com, 123.58.180.8
ask.com, 151.101.70.114
adobe.com, 23.48.9.51
twitter.com, 104.244.42.193
mozilla.com, 44.235.246.155
youku.com, 106.11.43.158
sdjjdsaf.com, NOT_RESOLVED
andysayler.com, 159.89.253.85
wmfo.org, 23.92.21.128
amazon.com, 176.32.103.205
wordpress.com, 192.0.78.9
tudou.com, 106.11.43.215
yahoo.co.jp, 183.79.135.206
sohu.com, 211.159.191.77
apple.com, 17.253.144.10
hao123.com, 124.237.176.248
windows.com, 40.112.72.205
ebay.com, 216.113.179.53
pps.tv, 116.211.199.233
xunlei.com, 39.104.99.104
56.com, 183.232.65.145
fc2.com, 199.48.210.151
paypal.com, 64.4.250.37
sogou.com, 118.191.216.42
tmall.com, 140.205.130.99
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.16.234
about.com, 151.101.2.137
orkut.com.br, 200.160.2.95
ifeng.com, 123.103.122.24
goo.ne.jp, 114.179.184.93
bbc.co.uk, 151.101.64.81
yandex.ru, 5.255.255.50
myspace.com, 63.135.90.70
mail.ru, 217.69.139.200
cnet.com, 34.95.96.50
go.com, 23.236.60.174
4399.com, 129.211.129.109
orkut.com, 216.239.32.21
skype.com, 23.102.255.237
ameblo.jp, 151.101.194.133
naver.com, 125.209.222.141
flickr.com, 65.8.237.125
4shared.com, 204.155.146.95
amazon.co.jp, 52.119.168.48
linkedin.com, 13.107.42.14
dailymotion.com, 195.8.215.136
imdb.com, 52.94.225.248
aol.com, 98.136.103.23
hotmail.com, 204.79.197.212
360.cn, 36.99.170.84
craigslist.org, 208.82.237.129
weather.com, 23.5.253.68
soku.com, 106.11.186.25
alibaba.com, 198.11.132.198
megaupload.com, NOT_RESOLVED
renren.com, 120.133.2.243
livedoor.jp, 203.104.153.16
blogger.com, 172.217.2.9
